,tahun,bulan,jenis,kode_trayek,trayek,jumlah_penumpang
0,2021,1,Mikrotrans,JAK.17,Senen - Pulo Gadung,33859
1,2021,1,Mikrotrans,JAK.33,Pulo Gadung - Kota,46531
2,2021,1,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,68914
3,2021,1,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,52710
4,2021,1,BRT,4,Pulo Gadung 2 - Tosari,249575
5,2021,1,BRT,2,Pulo Gadung 1 - Harmoni,323751
6,2021,1,Angkutan Umum Integrasi,4F,Pinang Ranti - Pulo Gadung,39562
7,2021,1,Mikrotrans,JAK.41,Kampung Melayu - Pulo Gadung,21109
8,2021,1,Angkutan Umum Integrasi,11D,Pulo Gebang - Pulo Gadung 2 via PIK,61434
9,2021,1,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,36899
10,2021,2,Mikrotrans,JAK.41,Kampung Melayu - Pulo Gadung,22924
11,2021,2,Mikrotrans,JAK.33,Pulo Gadung - Kota,47276
12,2021,2,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,66373
13,2021,2,Mikrotrans,JAK.17,Senen - Pulo Gadung,31054
14,2021,2,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,45547
15,2021,2,Angkutan Umum Integrasi,4F,Pinang Ranti - Pulo Gadung,32019
16,2021,2,BRT,4,Pulo Gadung 2 - Tosari,250418
17,2021,2,BRT,2,Pulo Gadung 1 - Harmoni,312708
18,2021,2,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,33443
19,2021,2,Angkutan Umum Integrasi,11D,Pulo Gebang - Pulo Gadung 2 via PIK,47628
20,2021,3,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,41360
21,2021,3,Mikrotrans,JAK.41,Kampung Melayu - Pulo Gadung,29450
22,2021,3,Mikrotrans,JAK.33,Pulo Gadung - Kota,54740
23,2021,3,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,78082
24,2021,3,Mikrotrans,JAK.17,Senen - Pulo Gadung,38648
25,2021,3,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,52125
26,2021,3,BRT,4,Pulo Gadung 2 - Tosari,277604
27,2021,3,BRT,2,Pulo Gadung 1 - Harmoni,412664
28,2021,3,Angkutan Umum Integrasi,4F,Pinang Ranti - Pulo Gadung,41635
29,2021,3,Angkutan Umum Integrasi,11D,Pulo Gebang - Pulo Gadung 2 via PIK,58186
30,2021,4,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,42043
31,2021,4,Mikrotrans,JAK.33,Pulo Gadung - Kota,53128
32,2021,4,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,77864
33,2021,4,Mikrotrans,JAK.17,Senen - Pulo Gadung,43320
34,2021,4,BRT,4,Pulo Gadung 2 - Tosari,302574
35,2021,4,BRT,2,Pulo Gadung 1 - Harmoni,387163
